lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"August 19, 2025","3,157,710","63,645","63,645",University College London,Property/Room type got sold out,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 15, 2025","3,232,826","63,645","63,645",University College London,,JP,Japan,won,won,Wembley,United Kingdom,booked,false,false,
"August 29, 2025","3,188,101","63,645","63,645",University College London,Booked a private accommodation,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,true,
"September 28, 2025","3,259,441","63,645","63,645",University College London,,GB,United Kingdom,opportunity,Processing,London,United Kingdom,follow_up_later,false,true,
"August 19, 2025","3,156,811","63,645","63,645",University College London,Budget too low,CA,Canada,lost,lost,London,United Kingdom,not_booked,false,true,
"September 10, 2025","3,221,532","63,645","63,645",University College London,Parent lead already present,RW,Rwanda,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 20, 2025","3,161,588","63,645","63,645",University College London,Booked directly on the property website,MY,Malaysia,lost,lost,London,United Kingdom,not_booked,false,false,
"September 1, 2025","3,195,694","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"September 1, 2025","3,196,257","63,645","63,645",University College London,Parent lead already present,AU,Australia,lost,lost,Wembley,United Kingdom,repeat,true,true,
"July 22, 2025","3,084,658","63,645","63,645",University College London,Looking for private house/rental,PH,Philippines,lost,lost,London,United Kingdom,not_booked,false,false,
"August 19, 2025","3,158,329","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 19, 2025","3,158,958","63,645","63,645",University College London,Property/Room type got sold out,HK,Hong Kong,lost,lost,London,United Kingdom,not_booked,false,false,
"August 14, 2025","3,139,191","63,645","63,645",University College London,,GB,United Kingdom,won,won,London,United Kingdom,booked,false,false,
"September 18, 2025","3,240,084","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,London,United Kingdom,repeat,true,true,
"August 16, 2025","3,147,986","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 29, 2025","3,189,076","63,645","63,645",University College London,Parent lead already present,RW,Rwanda,lost,lost,London,United Kingdom,repeat,true,true,
"September 9, 2025","3,218,474","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"July 25, 2025","3,091,415","63,645","63,645",University College London,Duplicate Booking logged by Agent,IN,India,lost,lost,London,United Kingdom,not_booked,false,false,
"September 10, 2025","3,219,604","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 11, 2025","3,224,352","63,645","63,645",University College London,Not responded,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 28, 2025","3,185,478","63,645","63,645",University College London,Parent lead already present,KR,"Korea, Republic of",lost,lost,London,United Kingdom,repeat,true,true,
"September 14, 2025","3,230,759","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"September 18, 2025","3,240,100","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,London,United Kingdom,repeat,true,true,
"August 21, 2025","3,165,029","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
